Date,Time,Oil_CO2,Coal_CO2,Gas_CO2
2020-01-01,00:00,233.1,13.804,2794.935
2020-01-01,00:15,0.0,0.0,0.0
2020-01-01,00:30,83.139,12.818,2870.868
2020-01-01,00:45,0.0,0.0,0.0
2020-01-01,01:00,82.36200000000001,12.818,2684.253
2020-01-01,01:15,0.0,0.0,0.0
2020-01-01,01:30,83.139,13.804,2415.27
2020-01-01,01:45,0.0,0.0,0.0
2020-01-01,02:00,83.139,13.804,2289.573
2020-01-01,02:15,0.0,0.0,0.0
2020-01-01,02:30,83.139,14.79,1928.355
2020-01-01,02:45,0.0,0.0,0.0
2020-01-01,03:00,83.139,13.804,1570.1399999999999
2020-01-01,03:15,0.0,0.0,0.0
2020-01-01,03:30,83.139,13.804,1262.118
2020-01-01,03:45,0.0,0.0,0.0
2020-01-01,04:00,83.139,12.818,1262.118
2020-01-01,04:15,0.0,0.0,0.0
2020-01-01,04:30,83.139,13.804,1271.127
2020-01-01,04:45,0.0,0.0,0.0
2020-01-01,05:00,83.139,13.804,1264.263
2020-01-01,05:15,0.0,0.0,0.0
2020-01-01,05:30,83.139,13.804,1268.124
2020-01-01,05:45,0.0,0.0,0.0
2020-01-01,06:00,83.916,13.804,1270.269
2020-01-01,06:15,0.0,0.0,0.0
2020-01-01,06:30,83.916,13.804,1274.1299999999999
2020-01-01,06:45,0.0,0.0,0.0
2020-01-01,07:00,83.139,14.79,1277.133
2020-01-01,07:15,0.0,0.0,0.0
2020-01-01,07:30,84.693,10.846,1277.991
2020-01-01,07:45,0.0,0.0,0.0
2020-01-01,08:00,83.916,10.846,1262.9759999999999
2020-01-01,08:15,0.0,0.0,0.0
2020-01-01,08:30,83.916,10.846,1265.55
2020-01-01,08:45,0.0,0.0,0.0
2020-01-01,09:00,83.916,11.832,1376.232
2020-01-01,09:15,0.0,0.0,0.0
2020-01-01,09:30,83.916,11.832,1392.105
2020-01-01,09:45,0.0,0.0,0.0
2020-01-01,10:00,83.916,14.79,1472.328
2020-01-01,10:15,0.0,0.0,0.0
2020-01-01,10:30,83.916,14.79,1463.748
2020-01-01,10:45,0.0,0.0,0.0
2020-01-01,11:00,83.916,13.804,1467.609
2020-01-01,11:15,0.0,0.0,0.0
2020-01-01,11:30,83.916,15.776,1511.367
2020-01-01,11:45,0.0,0.0,0.0
2020-01-01,12:00,84.693,14.79,1517.373
2020-01-01,12:15,0.0,0.0,0.0
2020-01-01,12:30,84.693,14.79,1517.373
2020-01-01,12:45,0.0,0.0,0.0
2020-01-01,13:00,83.916,15.776,1534.962
2020-01-01,13:15,0.0,0.0,0.0
2020-01-01,13:30,83.139,14.79,1528.098
2020-01-01,13:45,0.0,0.0,0.0
2020-01-01,14:00,83.916,14.79,1521.663
2020-01-01,14:15,0.0,0.0,0.0
2020-01-01,14:30,83.916,14.79,1555.983
2020-01-01,14:45,0.0,0.0,0.0
2020-01-01,15:00,84.693,15.776,1664.52
2020-01-01,15:15,0.0,0.0,0.0
2020-01-01,15:30,83.916,15.776,1837.836
2020-01-01,15:45,0.0,0.0,0.0
2020-01-01,16:00,83.916,14.79,1882.8809999999999
2020-01-01,16:15,0.0,0.0,0.0
2020-01-01,16:30,84.693,14.79,2209.35
2020-01-01,16:45,0.0,0.0,0.0
2020-01-01,17:00,83.916,14.79,2429.427
2020-01-01,17:15,0.0,0.0,0.0
2020-01-01,17:30,83.916,14.79,2600.169
2020-01-01,17:45,0.0,0.0,0.0
2020-01-01,18:00,84.693,13.804,2697.9809999999998
2020-01-01,18:15,0.0,0.0,0.0
2020-01-01,18:30,83.916,15.776,2936.9339999999997
2020-01-01,18:45,0.0,0.0,0.0
2020-01-01,19:00,83.916,14.79,3021.447
2020-01-01,19:15,0.0,0.0,0.0
2020-01-01,19:30,83.916,14.79,3131.7
2020-01-01,19:45,0.0,0.0,0.0
2020-01-01,20:00,83.916,15.776,3075.072
2020-01-01,20:15,0.0,0.0,0.0
2020-01-01,20:30,83.139,15.776,3101.241
2020-01-01,20:45,0.0,0.0,0.0
2020-01-01,21:00,83.139,14.79,2971.254
2020-01-01,21:15,0.0,0.0,0.0
2020-01-01,21:30,83.139,14.79,3046.758
2020-01-01,21:45,0.0,0.0,0.0
2020-01-01,22:00,83.139,15.776,2885.4539999999997
2020-01-01,22:15,0.0,0.0,0.0
2020-01-01,22:30,83.916,13.804,2878.59
2020-01-01,22:45,0.0,0.0,0.0
2020-01-01,23:00,83.139,14.79,2931.357
2020-01-01,23:15,0.0,0.0,0.0
2020-01-01,23:30,83.139,14.79,2616.9
2020-01-01,23:45,0.0,0.0,0.0
2020-01-02,00:00,83.139,13.804,2481.336
2020-01-02,00:15,0.0,0.0,0.0
2020-01-02,00:30,83.139,14.79,2491.632
2020-01-02,00:45,0.0,0.0,0.0
2020-01-02,01:00,83.139,14.79,2284.854
2020-01-02,01:15,0.0,0.0,0.0
2020-01-02,01:30,83.139,13.804,2291.718
2020-01-02,01:45,0.0,0.0,0.0
2020-01-02,02:00,83.139,13.804,2235.519
2020-01-02,02:15,0.0,0.0,0.0
2020-01-02,02:30,83.139,14.79,2332.473
2020-01-02,02:45,0.0,0.0,0.0
2020-01-02,03:00,83.916,14.79,2166.45
2020-01-02,03:15,0.0,0.0,0.0
2020-01-02,03:30,83.916,14.79,2158.299
2020-01-02,03:45,0.0,0.0,0.0
2020-01-02,04:00,84.693,13.804,2138.136
2020-01-02,04:15,0.0,0.0,0.0
2020-01-02,04:30,83.139,14.79,2176.746
2020-01-02,04:45,0.0,0.0,0.0
2020-01-02,05:00,83.139,13.804,2193.477
2020-01-02,05:15,0.0,0.0,0.0
2020-01-02,05:30,83.139,13.804,2145.0
2020-01-02,05:45,0.0,0.0,0.0
2020-01-02,06:00,83.139,12.818,2369.3669999999997
2020-01-02,06:15,0.0,0.0,0.0
2020-01-02,06:30,82.36200000000001,13.804,2861.859
2020-01-02,06:45,0.0,0.0,0.0
2020-01-02,07:00,80.808,12.818,3043.326
2020-01-02,07:15,0.0,0.0,0.0
2020-01-02,07:30,80.808,13.804,3178.89
2020-01-02,07:45,0.0,0.0,0.0
2020-01-02,08:00,80.808,11.832,3367.221
2020-01-02,08:15,0.0,0.0,0.0
2020-01-02,08:30,81.58500000000001,11.832,3382.665
2020-01-02,08:45,0.0,0.0,0.0
2020-01-02,09:00,80.808,12.818,3460.314
2020-01-02,09:15,0.0,0.0,0.0
2020-01-02,09:30,81.58500000000001,11.832,3593.7329999999997
2020-01-02,09:45,0.0,0.0,0.0
2020-01-02,10:00,81.58500000000001,11.832,3630.198
2020-01-02,10:15,0.0,0.0,0.0
2020-01-02,10:30,82.36200000000001,13.804,3635.775
2020-01-02,10:45,0.0,0.0,0.0
2020-01-02,11:00,81.58500000000001,12.818,3628.911
2020-01-02,11:15,0.0,0.0,0.0
2020-01-02,11:30,81.58500000000001,12.818,3599.739
2020-01-02,11:45,0.0,0.0,0.0
2020-01-02,12:00,81.58500000000001,13.804,3625.908
2020-01-02,12:15,0.0,0.0,0.0
2020-01-02,12:30,81.58500000000001,13.804,3590.301
2020-01-02,12:45,0.0,0.0,0.0
2020-01-02,13:00,81.58500000000001,12.818,3595.02
2020-01-02,13:15,0.0,0.0,0.0
2020-01-02,13:30,81.58500000000001,12.818,3601.455
2020-01-02,13:45,0.0,0.0,0.0
2020-01-02,14:00,83.139,12.818,3561.129
2020-01-02,14:15,0.0,0.0,0.0
2020-01-02,14:30,86.247,12.818,3610.893
2020-01-02,14:45,0.0,0.0,0.0
2020-01-02,15:00,80.808,11.832,3516.513
2020-01-02,15:15,0.0,0.0,0.0
2020-01-02,15:30,81.58500000000001,13.804,3471.897
2020-01-02,15:45,0.0,0.0,0.0
2020-01-02,16:00,81.58500000000001,12.818,3460.743
2020-01-02,16:15,0.0,0.0,0.0
2020-01-02,16:30,81.58500000000001,12.818,3454.737
2020-01-02,16:45,0.0,0.0,0.0
2020-01-02,17:00,80.808,12.818,3451.305
2020-01-02,17:15,0.0,0.0,0.0
2020-01-02,17:30,81.58500000000001,11.832,3566.706
2020-01-02,17:45,0.0,0.0,0.0
2020-01-02,18:00,89.355,12.818,3581.721
2020-01-02,18:15,0.0,0.0,0.0
2020-01-02,18:30,90.132,13.804,3582.15
2020-01-02,18:45,0.0,0.0,0.0
2020-01-02,19:00,89.355,12.818,3637.062
2020-01-02,19:15,0.0,0.0,0.0
2020-01-02,19:30,89.355,12.818,3631.9139999999998
2020-01-02,19:45,0.0,0.0,0.0
2020-01-02,20:00,89.355,12.818,3526.38
2020-01-02,20:15,0.0,0.0,0.0
2020-01-02,20:30,89.355,12.818,3539.679
2020-01-02,20:45,0.0,0.0,0.0
2020-01-02,21:00,89.355,12.818,3319.173
2020-01-02,21:15,0.0,0.0,0.0
2020-01-02,21:30,89.355,13.804,3355.638
2020-01-02,21:45,0.0,0.0,0.0
2020-01-02,22:00,89.355,13.804,2898.324
2020-01-02,22:15,0.0,0.0,0.0
2020-01-02,22:30,88.578,13.804,2946.801
2020-01-02,22:45,0.0,0.0,0.0
2020-01-02,23:00,88.578,13.804,2972.97
2020-01-02,23:15,0.0,0.0,0.0
2020-01-02,23:30,88.578,13.804,2691.1169999999997
2020-01-02,23:45,0.0,0.0,0.0
2020-01-03,00:00,88.578,13.804,2590.7309999999998
2020-01-03,00:15,0.0,0.0,0.0
2020-01-03,00:30,88.578,13.804,1735.305
2020-01-03,00:45,0.0,0.0,0.0
2020-01-03,01:00,88.578,13.804,1636.206
2020-01-03,01:15,0.0,0.0,0.0
2020-01-03,01:30,88.578,14.79,1752.894
2020-01-03,01:45,0.0,0.0,0.0
2020-01-03,02:00,88.578,13.804,1690.689
2020-01-03,02:15,0.0,0.0,0.0
2020-01-03,02:30,88.578,13.804,1649.076
2020-01-03,02:45,0.0,0.0,0.0
2020-01-03,03:00,88.578,13.804,1584.297
2020-01-03,03:15,0.0,0.0,0.0
2020-01-03,03:30,88.578,13.804,1655.511
2020-01-03,03:45,0.0,0.0,0.0
2020-01-03,04:00,89.355,14.79,1622.907
